5KB.txt,10KB.txt,100KB.txt,200KB.txt,500KB.txt,1MB.txt,10MB.txt
0.016619205474853516,0.010562419891357422,0.011693000793457031,0.010702371597290039,0.009977579116821289,0.011003494262695312,0.0614316463470459
0.01124119758605957,0.010770797729492188,0.010223150253295898,0.009752750396728516,0.010697603225708008,0.011816263198852539,0.062499046325683594
0.012053251266479492,0.011041641235351562,0.01126408576965332,0.011773824691772461,0.012295961380004883,0.011972188949584961,0.06384634971618652
0.012756586074829102,0.010364055633544922,0.010505914688110352,0.010656356811523438,0.011964082717895508,0.011463642120361328,0.06312108039855957
0.012599945068359375,0.00978231430053711,0.010169506072998047,0.011210918426513672,0.010358572006225586,0.011925697326660156,0.061434030532836914
0.011052131652832031,0.012041091918945312,0.011460304260253906,0.010919570922851562,0.011341571807861328,0.013514995574951172,0.059639692306518555
0.012055635452270508,0.011149168014526367,0.010292530059814453,0.010616302490234375,0.01098942756652832,0.013978719711303711,0.06508588790893555
0.010722637176513672,0.010894060134887695,0.01139211654663086,0.01173090934753418,0.011207818984985352,0.013527870178222656,0.06644654273986816
0.011529207229614258,0.011136770248413086,0.010947942733764648,0.010468244552612305,0.010657310485839844,0.013046979904174805,0.061768531799316406
0.010062456130981445,0.010334253311157227,0.009475946426391602,0.010845184326171875,0.01196146011352539,0.01358485221862793,0.06019449234008789
